"author_id","created_at","lang","like_count","reply_count","retweet_count","text"
30973,2022-12-27 15:43:16,"en",10,11,0,"@kuronesa Hello, I am so sorry we missed your special day, I can imagine your disappointment. I'd like the pleasure to see how I can help. Can you please send me a DM with the email address linked to your Starbucks Rewards account? -Kristine"
30973,2022-11-29 05:23:55,"en",9,9,0,"@Mo_shakur We may be biased, but the Pumpkin Loaf is delicious."
30973,2022-11-28 20:14:09,"en",2,9,1,"@MixxedBreeed_ If you do, let us know what you think!"
30973,2022-11-28 12:51:28,"en",0,2,0,"@BihhKatie Thank you for reaching out. We will advise the @StarbucksCare Team that you require assistance."
30973,2022-11-27 15:14:26,"en",0,1,0,"@BihhKatie We love birthdays! Join Starbucks Rewards at least 7 days before your birthday &amp; make at least 1 purchase with the app. Your Birthday Reward will arrive on your birthday, but we’ll send you an email reminding you beforehand. https://t.co/3ktu64ZA4c"
30973,2022-11-24 17:47:24,"en",1,1,0,"@therealstacyduh Hi, Stacy! We recommend contacting your local Starbucks for hours of operation."
30973,2022-11-24 17:46:18,"en",0,0,0,"@DevAlexiiis Hi there! We recommend contacting your local Starbucks for hours of operation."
30973,2022-11-22 21:13:37,"en",1,2,0,"@QueenAllure1 Delicious idea! 😋"
30973,2022-11-22 15:40:26,"en",1,1,1,"@alexizzy_ It's impossibly delicious!"
30973,2022-11-22 15:31:21,"en",0,0,1,"@hhaanimm You can order this handcrafted hot tea beverage by its official name in stores or via the mobile app: Honey Citrus Mint Tea! https://t.co/l0hs5snVgQ"
30973,2022-11-22 15:19:31,"en",0,0,0,"@LizabLovesYou Delicious choice! We hope your birthday was brew-tiful! 💚"
30973,2022-11-22 02:59:36,"en",2,0,0,"@Crangell_21 Hopefully, it gave you everything you needed! 💚"
30973,2022-11-22 02:52:04,"en",2,1,0,"@ghostlyygabi They are just too good to pass up!"
30973,2022-11-22 02:51:37,"en",1,0,0,"@ForeverLanisha Twice the joy! 🙌"
30973,2022-11-22 02:50:07,"en",1,0,0,"@_khaadijaa Cheers!"
30973,2022-11-22 02:43:13,"en",7,4,1,"@methodloci There is definitely a connection here, bestie! 🥰"
30973,2022-11-22 02:38:21,"en",2,1,1,"@MixxedBreeed_ Love it! Have you tried our Reindeer Cake Pop? 🎄"
30973,2022-11-22 02:37:02,"en",1,0,0,"@bunsnguns_rach Yay! Cheers. 💚"
30973,2022-11-22 02:35:13,"en",1,1,0,"@MsRhodesD24 We love how much you enjoy this fruity and refreshing beverage!"
30973,2022-11-22 02:35:01,"en",8,1,2,"@methodloci We totally get it, Bec! 😉"
30973,2022-11-22 00:30:00,"en",1,1,1,"@jakharicarroll_ We agree, that sounds tea-riffic!"
30973,2022-11-22 00:29:51,"en",0,0,0,"@ultmoonbinnn So cheesy and toasty and calling your name! 😉"
30973,2022-11-22 00:29:28,"en",1,0,0,"@Noctis_Okami It's just a little yummy added to our days! ✨"
30973,2022-11-22 00:29:22,"en",1,0,1,"@_khaadijaa Holiday sugar cookies + coffee = 💚"
30973,2022-11-22 00:29:19,"en",3,0,0,"@SummerKayPNW Aw! What a sweet surprise! 💚"
30973,2022-11-22 00:28:48,"en",1,0,0,"@hhaleyanne It's top-notch holiday goodness! 😋"
30973,2022-11-22 00:28:15,"en",0,0,0,"@mellbeen You can order Starbucks through the Uber Eats app and enjoy that Toasted White Chocolate Mocha! 😉"
30973,2022-11-22 00:28:04,"en",1,0,0,"@Gooch_wife Can we prepare a Honey Citrus Mint Tea for you soon? ☺️"
30973,2022-11-22 00:27:53,"en",0,0,0,"@Blackzahri Simple and classic! 😋"
30973,2022-11-22 00:27:43,"en",1,1,1,"@bunsnguns_rach Did you find a new holiday fave, bestie? 🥰"
30973,2022-11-22 00:27:35,"en",3,1,1,"@MixxedBreeed_ Yum! Which cake pop are you thinking about? 😋"
30973,2022-11-22 00:27:29,"en",1,0,0,"@sonaabramova Sounds pretty normal to us. 😉"
30973,2022-11-22 00:27:03,"en",12,2,0,"@dualipasdog One can certainly dream! 😉"
30973,2022-11-22 00:26:57,"en",2,1,0,"@nickEXPLODEeon We take that as you found your new favorite breakfast item. 😋"
30973,2022-11-22 00:26:32,"en",1,0,1,"@fee_bee18 Thanks for sharing the love you have for this buttery and delicious treat!"
30973,2022-11-22 00:26:18,"en",0,0,0,"@sallmiitta Do you enjoy yours cold or warmed? 😋"
30973,2022-11-22 00:25:36,"en",1,0,0,"@onufreyonboard Isn't this the best way to start the morning? 🙌"
30973,2022-11-22 00:24:24,"en",0,0,0,"@snobwavy1 It tastes like a creamy and fruity paradise! 🍓"
30973,2022-11-22 00:23:49,"en",1,0,0,"@ernestoandre27 We couldn't agree more, Ernesto! 🙌"
30973,2022-11-22 00:22:55,"qme",0,0,0,"@miracle_murrell 💚"
30973,2022-11-22 00:22:46,"en",1,0,0,"@pastrydiary We love you too, Lola!"
30973,2022-11-21 17:44:06,"en",1,1,0,"@tunaeP_ We're happy to hear you're loving it! 😋"
30973,2022-11-21 17:40:32,"en",1,1,0,"@jonginlaugh We look forward to sipping with you again soon! 💚"
30973,2022-11-21 17:37:42,"en",2,0,0,"@pinkumoon1 Cheers! 💚"
30973,2022-11-21 17:17:32,"und",1,1,0,"@jonginlaugh Yum! 😋"
30973,2022-11-21 17:16:33,"en",1,0,0,"@Nia_Simone14 Cheers! 😋💚"
30973,2022-11-21 17:05:49,"qme",1,0,0,"@yamiilemagana 😋😉"
30973,2022-11-21 16:37:08,"en",1,0,0,"@lily_allison_ Delicious choice! 😋"
30973,2022-11-21 16:28:36,"en",0,0,0,"@alexannndria We're thrilled you're loving it! 💚"
30973,2022-11-21 16:21:07,"en",1,0,0,"@____teonna Sounds delish! We're ready when you are! 😋"
30973,2022-11-21 16:18:50,"qme",0,0,0,"@aghielaghiel 😍🙌⛄"
30973,2022-11-21 16:17:41,"en",0,0,0,"@Jdaprodigy We're happy to hear you're loving it! 😋"
30973,2022-11-21 16:13:48,"en",0,0,0,"@themorganjanaye It sounds like you've found a new favorite sip! 😋"
30973,2022-11-21 16:12:50,"en",0,0,0,"@luvtn0 A delicious way to start your day! 😋"
30973,2022-11-21 16:12:20,"en",0,0,0,"@KnicksLetter We're thrilled you're loving every sip! 💚"
30973,2022-11-21 16:11:35,"qme",1,0,1,"@katelinrebekah 🥰"
30973,2022-11-21 16:09:41,"en",1,0,1,"@medchungyboy We love love at first sip! 😍🙌"
30973,2022-11-21 16:07:40,"en",0,0,0,"@D_aijaaaa We're thrilled you're loving it!"
30973,2022-11-21 16:06:36,"en",2,0,0,"@pohdeex See you soon! 💚"
30973,2022-11-21 16:05:30,"en",0,0,0,"@_xdnomaiD What's your go-to? 😍"
30973,2022-11-21 16:04:31,"qme",0,1,0,"@teemoney____ 😋😋"
30973,2022-11-21 16:04:00,"en",1,0,0,"@alexannndria A blondie cake with dried cranberries, finished with a layer of cream-cheese icing flecked with orange zest and a sprinkle of dried cranberries... what's not to love? 😍😋"
30973,2022-11-21 15:53:40,"en",0,0,1,"@theonlyempres We love sipping with you! 💚"
30973,2022-11-21 15:52:49,"en",0,0,0,"@dazshalecole A delicious way to start your day! 😋"
30973,2022-11-21 15:51:25,"en",0,0,0,"@LizabLovesYou Cheers! What did you sip-lebrate with? 😍😋"
30973,2022-11-21 15:50:10,"en",1,1,0,"@dylannkk We like your style. 😋"
30973,2022-11-21 15:47:21,"en",0,0,1,"@issanasecret Cheers! 💚"
30973,2022-11-21 15:46:29,"qme",0,0,0,"@itsillmatic 😋😋"
30973,2022-11-21 15:40:40,"en",0,0,0,"@Love_mywalk What's your sip? 😋"
