"Student_ID","Study_Hours_Per_Day","Extracurricular_Hours_Per_Day","Sleep_Hours_Per_Day","Social_Hours_Per_Day","Physical_Activity_Hours_Per_Day","GPA","Stress_Level","college","GPA_Level","Stress_Level2","books_read"
1,6.9,3.8,8.7,2.8,1.8,2.99,"Moderate","Education","MediumGPA","LowModerate",4
2,5.3,3.5,8,4.2,3,2.75,"Low","Humanities","LowGPA","LowModerate",7
3,5.1,3.9,9.2,1.2,4.6,2.67,"Low","Arts & Sciences","LowGPA","LowModerate",4
4,6.5,2.1,7.2,1.7,6.5,2.88,"Moderate","Communication","LowGPA","LowModerate",8
5,8.1,0.6,6.5,2.2,6.6,3.51,"High","Humanities","HighGPA","High",9
6,6,2.1,8,0.3,7.6,2.85,"Moderate","Education","LowGPA","LowModerate",2
7,8,0.7,5.3,5.7,4.3,3.08,"High","Communication","MediumGPA","High",5
8,8.4,1.8,5.6,3,5.2,3.2,"High","Humanities","MediumGPA","High",8
9,5.2,3.6,6.3,4,4.9,2.82,"Low","Humanities","LowGPA","LowModerate",5
10,7.7,0.7,9.8,4.5,1.3,2.76,"Moderate","Humanities","LowGPA","LowModerate",5
11,9.7,3.6,8,2.5,0.2,3.43,"High","Humanities","HighGPA","High",9
12,6.9,1.1,9.1,2.1,4.8,2.97,"Moderate","Humanities","MediumGPA","LowModerate",5
13,6.4,2.2,5.7,4.8,4.9,2.82,"High","Humanities","LowGPA","High",6
14,5,3.3,8.5,4.4,2.8,2.87,"Low","Humanities","LowGPA","LowModerate",5
15,8.9,0.3,6.8,0.7,7.3,3.4,"High","Communication","HighGPA","High",2
16,6.7,0.3,6.6,2,8.4,3.2,"Moderate","Education","MediumGPA","LowModerate",8
17,8.6,2.6,9.4,1.6,1.8,3.36,"High","Education","HighGPA","High",3
18,8.8,2.2,8.9,2,2.1,3.19,"High","Education","MediumGPA","High",2
19,7.6,1.7,5.1,0.6,9,3.16,"High","Humanities","MediumGPA","High",4
20,6.6,2,9.5,1.5,4.4,2.93,"Moderate","Education","MediumGPA","LowModerate",9
